;ID;ENLACE;USUARIO;@;FECHA;RETWEETS;FAVORITO;MENCIONA;HASHTAGS;GEO;TEXTO
4087;1197176929033437184;https://twitter.com/utpl/status/1197176929033437184;utpl;;2019-11-20 15:36:37+00:00;5;12;@UNESCO_es @FestivalDeLoja;#Vinculaci #SmartLand #IUCD #FIAVL2019;;#VinculaciónUTPL Observatorios de Turismo, Comunicación, Cultura y Regional, impulsados por nuestra iniciativa #SmartLand, iniciaron recopilación de información para aportar a los indicadores @UNESCO_es de Cultura para el Desarrollo #IUCD del @FestivalDeLoja - #FIAVL2019. .
4088;1197176608941056001;https://twitter.com/H_UTPL/status/1197176608941056001;H_UTPL;;2019-11-20 15:35:20+00:00;2;7;;#HospitalUTPL #HospitalSantaInes #FestivalLojaM #FIAVL2019;;¡#HospitalUTPL y #HospitalSantaInes presentes en el Festival Internacional de Artes Vivas Loja!... Sábado, 23 de noviembre de 2019 De 14h00 a 18h00 Rocafuerte entre 24 de Mayo y Pasaje Sinchona #FestivalLojaMásTuyoQueNunca #FIAVL2019 .
4089;1197176561549615104;https://twitter.com/LecturaEC/status/1197176561549615104;LecturaEC;;2019-11-20 15:35:09+00:00;1;2;;#FIAVL2019 #FestivalLojaM;; I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 La Lonchera de Papá. Historia real de un padre y una hija adolescente. 22 de noviembre de 2019 Alianza Francesa Loja 10h00 ¡No te lo pierdas! #FestivalLojaMásTuyoQueNunca.
4090;1197175080125706240;https://twitter.com/festivaloffloja/status/1197175080125706240;festivaloffloja;;2019-11-20 15:29:16+00:00;0;0;;#Fiavl2019 #OffLoja2019;;#Fiavl2019 CONCIERTO ÑAN YURAK también nos deleitó con su música en la Plaza Central de Loja. #OffLoja2019 en Loja, Ecuador https://www.instagram.com/p/B5F6Dd-gvNQ/?igshid=x2ua9wleehit.
4091;1197174698011807744;https://twitter.com/festivaloffloja/status/1197174698011807744;festivaloffloja;;2019-11-20 15:27:45+00:00;1;0;;#Fiavl2019 #OffLoja2019;;#Fiavl2019 CONCIERTO Tuvimos una noche estupenda en compañía de KAPAK ÑAN y TEMPORAL #OffLoja2019 en Loja, Ecuador https://www.instagram.com/p/B5F54UwA-zp/?igshid=13ykafghpyh6n.
4092;1197172888509353985;https://twitter.com/festivaloffloja/status/1197172888509353985;festivaloffloja;;2019-11-20 15:20:33+00:00;0;0;;#Fiavl2019 #OffLoja2019 #LojaParaElMundo;;#Fiavl2019 El cuerpo de Bach / Colectivo Zeta en el Festival Off 2019 #OffLoja2019 #LojaParaElMundo en Loja, Ecuador https://www.instagram.com/p/B5F41lpAswq/?igshid=3qkw4r42t83z.
4093;1197170812576505857;https://twitter.com/kmjimenezv/status/1197170812576505857;kmjimenezv;;2019-11-20 15:12:18+00:00;3;2;;#fiavl2019;;A propósito del #fiavl2019 ¿Qué podemos hacer para mejorar el Festival?. Ingresa a http://www.menti.com pon el código 344400 y responde..
4094;1197169419836960768;https://twitter.com/FestivalDeLoja/status/1197169419836960768;FestivalDeLoja;;2019-11-20 15:06:46+00:00;14;14;;#FestivalLojaM #FIAVL2019;;HOY | No te pierdas la excelente oferta de grupos de las artes vivas que tenemos preparados para el 20 de noviembre 2019. Revisa el cronograma en http://festivaldeloja.com ¡No te lo pierdas! #FestivalLojaMásTuyoQueNunca #FIAVL2019 .
4095;1197168382409420800;https://twitter.com/CiudadAlfaroEc/status/1197168382409420800;CiudadAlfaroEc;;2019-11-20 15:02:39+00:00;0;0;;#FIAVL2019 #FestivalLojaM;; I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 El Sueño de Lú. Tras un intento de suicidio, Lú descubre que la eternidad se contiene en un instante. 23 de noviembre de 2019 Alianza Francesa Loja 17h00 ¡No faltes! #FestivalLojaMásTuyoQueNunca.
4096;1197168139684982787;https://twitter.com/LecturaEC/status/1197168139684982787;LecturaEC;;2019-11-20 15:01:41+00:00;1;3;;#FIAVL2019 #FestivalLojaM;; I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 Una Mujer Fantástica. Tras una noche de fiesta, un hombre muere y su pareja enfrenta sospechas. 21 de noviembre Alianza Francesa Loja 17h00 ¡No faltes! #FestivalLojaMásTuyoQueNunca.
4097;1197168139102019585;https://twitter.com/CiudadAlfaroEc/status/1197168139102019585;CiudadAlfaroEc;;2019-11-20 15:01:41+00:00;0;0;;#FIAVL2019 #FestivalLojaM;; I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 Estación Central. Una ex maestra escribe cartas para analfabetas. Una cliente muere, y se hace cargo de su hijo. 23 de noviembre Alianza Francesa Loja 10h00 ¡No te lo pierdas! #FestivalLojaMásTuyoQueNunca.
4098;1197167934998745088;https://twitter.com/CiudadAlfaroEc/status/1197167934998745088;CiudadAlfaroEc;;2019-11-20 15:00:52+00:00;0;0;;#FIAVL2019 #FestivalLojaM;; I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 Contracorriente. Un joven casado, mantiene un romance secreto con un pintor homosexual. 22 de noviembre de 2019 Alianza Francesa Loja 17h00 ¡Te esperamos! #FestivalLojaMásTuyoQueNunca.
4099;1197167775434911745;https://twitter.com/CiudadAlfaroEc/status/1197167775434911745;CiudadAlfaroEc;;2019-11-20 15:00:14+00:00;0;0;;#FIAVL2019 #FestivalLojaM;; I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 La Lonchera de Papá. Historia real de un padre y una hija adolescente. 22 de noviembre de 2019 Alianza Francesa Loja 10h00 ¡No te lo pierdas! #FestivalLojaMásTuyoQueNunca.
4100;1197167720439173120;https://twitter.com/Cultura_Ec/status/1197167720439173120;Cultura_Ec;;2019-11-20 15:00:01+00:00;4;3;;#FestivalLojaM #FIAVL2019;;"""María"", una reflexión sobre la compatibilidad de la religión, la cultura y la fuerza de la mujer; recorriendo desde el cristianismo hasta el feminismo. Teatro Beatriz Cueva de Ayora 20 de noviembre 15h00 ¡No te la pierdas! #FestivalLojaMásTuyoQueNunca #FIAVL2019 ."
4101;1197167566738927620;https://twitter.com/CiudadAlfaroEc/status/1197167566738927620;CiudadAlfaroEc;;2019-11-20 14:59:24+00:00;0;0;;#FIAVL2019 #FestivalLojaM;; I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 Una Mujer Fantástica. Tras una noche de fiesta, un hombre muere y su pareja enfrenta sospechas. 21 de noviembre Alianza Francesa Loja 17h00 ¡No faltes! #FestivalLojaMásTuyoQueNunca.
4102;1197167354498686977;https://twitter.com/CiudadAlfaroEc/status/1197167354498686977;CiudadAlfaroEc;;2019-11-20 14:58:34+00:00;0;0;;#FIAVL2019 #FestivalLojaM;; I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 Hijos de la Gloria. La historia del equipo húngaro de waterpolo que muestra una revuelta en Budapest. 21 de noviembre Alianza Francesa Loja 10h00 ¡No te lo pierdas! #FestivalLojaMásTuyoQueNunca.
4103;1197167115717038081;https://twitter.com/CiudadAlfaroEc/status/1197167115717038081;CiudadAlfaroEc;;2019-11-20 14:57:37+00:00;0;0;@Cultura_Ec @utpl;#FestivalLojaM #FIAVL2019;;El #FestivalLojaMásTuyoQueNunca es un espacio de encuentro y fomento de las expresiones culturales y artísticas. El Ministerio de @Cultura_Ec, junto a la @utpl y la Alianza Francesa de Loja, invitan a: I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 21 al 23 de noviembre .
4104;1197164209223749634;https://twitter.com/CoopMego/status/1197164209223749634;CoopMego;;2019-11-20 14:46:04+00:00;1;3;;#coopmego #m #fiavl2019 #mastuyoquenunca #artesvivasloja #lojaescultura #offloja2019 #loja;; Ve y Vive la magia del Festival, disfruta todos los eventos programados para hoy. . . Cartelera, miércoles 20 de noviembre. . . #coopmego #másporusted #fiavl2019 #mastuyoquenunca #artesvivasloja #lojaescultura #offloja2019 #loja.
4105;1197163354864922625;https://twitter.com/LecturaEC/status/1197163354864922625;LecturaEC;;2019-11-20 14:42:40+00:00;0;2;;#FIAVL2019 #FestivalLojaM;; I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 Hijos de la Gloria. La historia del equipo húngaro de waterpolo que muestra una revuelta en Budapest. 21 de noviembre Alianza Francesa Loja 10h00 ¡No te lo pierdas! #FestivalLojaMásTuyoQueNunca.
4106;1197161946715435010;https://twitter.com/Cultura_Zonal7/status/1197161946715435010;Cultura_Zonal7;;2019-11-20 14:37:04+00:00;0;0;@Cultura_Ec @utpl;#FestivalLojaM #FIAVL2019;;El #FestivalLojaMásTuyoQueNunca es un espacio de encuentro y fomento de las expresiones culturales y artísticas. El Ministerio de @Cultura_Ec, junto a la @utpl y la Alianza Francesa de Loja, invitan a: I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 21 al 23 de noviembre .
4107;1197161056801632258;https://twitter.com/ec_memoria/status/1197161056801632258;ec_memoria;;2019-11-20 14:33:32+00:00;0;0;;#FIAVL2019 #FestivalLojaM;; I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 El Sueño de Lú. Tras un intento de suicidio, Lú descubre que la eternidad se contiene en un instante. 23 de noviembre de 2019 Alianza Francesa Loja 17h00 ¡No faltes! #FestivalLojaMásTuyoQueNunca.
4108;1197160865432248320;https://twitter.com/ec_memoria/status/1197160865432248320;ec_memoria;;2019-11-20 14:32:47+00:00;0;0;;#FIAVL2019 #FestivalLojaM;; I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 Estación Central. Una ex maestra escribe cartas para analfabetas. Una cliente muere, y se hace cargo de su hijo. 23 de noviembre Alianza Francesa Loja 10h00 ¡No te lo pierdas! #FestivalLojaMásTuyoQueNunca.
