ID;ENLACE PERMANENTE;NOMBRE USUARIO;@;FECHA;RETWEETS;FAVORITO;MENCIONA;HASHTAGS;GEO;TEXTO;
1,22E+18;,https://twitter.com/KatycitaPC/status/1218596233020874754;,KatycitaPC;,juanfervelasco;,2020-01-18 18:09:17+00:00;0;0,3;,;,;,;",""b'FIAVL un \xc3\xa9xito?! eso fue una feria libre para tomarse fotos con Robocop, Mal\xc3\xa9fica y Terminator, eso no es cultura! Loja no ha perdido autonom\xc3\xada? y a qu\xc3\xa9 le llama Ud autonom\xc3\xada? a hacer la agenda de eventos? Ud no es ni ser\xc3\xa1 una persona bienvenida a mi ciudad Chao Lola'""";
;;;;;;;;;;;
1,22E+18;,https://twitter.com/juanfervelasco/status/1218577617626062848;,juanfervelasco;,None;,2020-01-18 16:55:18+00:00;0,48;0,82;,;,;,;,b'4/4 Culminamos con enorme \xc3\xa9xito el FIAVL 2019 y acabamos de inaugurar la semana pasada la exposici\xc3\xb3n permanente del Centro Cultural y Museo de Loja. Vaya y vis\xc3\xadtelo que est\xc3\xa1 muy bonito';
;;;;;;;;;;;
1,22E+18;,https://twitter.com/LojaVAPorTi/status/1218550098067697665;,LojaVAPorTi;,t_saval;,2020-01-18 15:05:57+00:00;0,1;0,3;,;,#Loja;,;,b'Se\xc3\xb1ora parece que se olvida que gracias a la oportuna intervenci\xc3\xb3n de Ver\xc3\xb3nica Arias no nos quitaron el Festival de Artes Vivas. Ella present\xc3\xb3 una ley aprobada por unanimidad para garantizar que #Loja sea la sede permanente del FIAVL.';
;;;;;;;;;;;
1,22E+18;,https://twitter.com/DominicanosNYC/status/1217840940632760321;,DominicanosNYC;,None;,2020-01-16 16:08:01+00:00;0;0;,;,;,;,b'Resultados parciales de FIAVL son alentadores https://www.dominicanos.nyc/2020/01/15/resultados-parciales-de-fiavl-son-alentadores/';
;;;;;;;;;;;
1,22E+18;,https://twitter.com/cadenaecotel/status/1217648836698611712;,cadenaecotel;,None;,2020-01-16 03:24:40+00:00;0;0,1;,@eluniversocom;,;,;,b'Resultados parciales de FIAVL son alentadores https://www.eluniverso.com/entretenimiento/2020/01/16/nota/7692438/resultados-parciales-fiavl-son-alentadores?&utm_source=twitter&utm_medium=social-media&utm_campaign=addtoany por @eluniversocom';
;;;;;;;;;;;
1,22E+18;,https://twitter.com/sur_loja/status/1217494013428862977;,sur_loja;,None;,2020-01-15 17:09:27+00:00;0,6;0,9;,;,#Loja #FIAVL #CanalSurLoja;,;",""b'\xc2\xa1Resultados del pasado Festival Internacional de Artes Vivas! #Loja En rueda de prensa el Ministro de Cultura y Patrimonio, el Alcalde de Loja y representantes del observatorio Smart Land de la UTPL se dio a conocer los resultados de la cuarta edici\xc3\xb3n del #FIAVL. #CanalSurLoja'""";
;;;;;;;;;;;
